
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.41
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1539041689e+02     NA          0.8   
Cut generation started.
508712   504545   308723   38       NA                   2.1628790150e+02     NA          338.8 
510373   506189   309744   50       NA                   2.1628794949e+02     NA          339.8 
512022   507832   310755   40       NA                   2.1628853915e+02     NA          340.9 
513665   509468   311768   61       NA                   2.1628870477e+02     NA          341.9 
515335   511111   312756   75       NA                   2.1628900361e+02     NA          342.9 
517019   512780   313778   15       NA                   2.1628912311e+02     NA          343.9 
518701   514443   314766   55       NA                   2.1628919773e+02     NA          345.0 
520340   516066   315763   67       NA                   2.1628939660e+02     NA          346.0 
522013   517723   316770   34       NA                   2.1628951397e+02     NA          346.9 
523664   519360   317735   22       NA                   2.1628954547e+02     NA          347.8 
525324   520996   318745   45       NA                   2.1628954906e+02     NA          348.6 
527016   522666   319719   56       NA                   2.1628957525e+02     NA          349.5 
528745   524381   320704   61       NA                   2.1629098415e+02     NA          350.7 
530443   526075   321730   75       NA                   2.1629099681e+02     NA          351.7 
532114   527724   322671   56       NA                   2.1629110413e+02     NA          352.8 
533787   529384   323700   28       NA                   2.1629112828e+02     NA          353.9 
535456   531035   324737   38       NA                   2.1629164868e+02     NA          354.9 
537150   532712   325743   30       NA                   2.1629166666e+02     NA          356.0 
538822   534374   326769   79       NA                   2.1629223024e+02     NA          357.0 
540511   536047   327730   38       NA                   2.1629224041e+02     NA          358.0 
542166   537693   328755   24       NA                   2.1629305303e+02     NA          358.9 
543814   539335   329799   80       NA                   2.1629313523e+02     NA          360.0 
545455   540960   330802   67       NA                   2.1629354602e+02     NA          361.1 
547112   542610   331795   40       NA                   2.1629363905e+02     NA          362.2 
548764   544238   332745   48       NA                   2.1629389663e+02     NA          363.3 
550425   545886   333772   51       NA                   2.1629435833e+02     NA          364.5 
552125   547575   334736   52       NA                   2.1629475355e+02     NA          365.7 
553780   549217   335775   65       NA                   2.1629482354e+02     NA          366.8 
555423   550848   336750   85       NA                   2.1629505717e+02     NA          368.0 
557121   552533   337750   88       NA                   2.1629513439e+02     NA          369.2 
558790   554181   338721   50       NA                   2.1629557804e+02     NA          370.4 
560489   555868   339728   54       NA                   2.1629608869e+02     NA          371.5 
562148   557514   340783   53       NA                   2.1629663055e+02     NA          372.5 
563824   559175   341747   62       NA                   2.1629684880e+02     NA          373.5 
565503   560843   342746   22       NA                   2.1629704394e+02     NA          374.6 
567148   562479   343745   52       NA                   2.1629706890e+02     NA          375.7 
568801   564117   344688   43       NA                   2.1629707920e+02     NA          376.8 
570473   565776   345642   58       NA                   2.1629709271e+02     NA          377.8 
572155   567447   346610   35       NA                   2.1629711707e+02     NA          378.9 
573744   569029   347635   45       NA                   2.1629762401e+02     NA          380.1 
575440   570712   348689   27       NA                   2.1629762860e+02     NA          381.0 
577090   572352   349713   80       NA                   2.1629766617e+02     NA          382.2 
578760   574002   350675   84       NA                   2.1629809043e+02     NA          383.4 
580403   575632   351676   47       NA                   2.1629884834e+02     NA          384.7 
582079   577290   352672   31       NA                   2.1629888833e+02     NA          385.9 
583705   578905   353638   63       NA                   2.1629888833e+02     NA          387.1 
585312   580497   354651   31       NA                   2.1629966515e+02     NA          388.3 
